SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs,是否选款
FU100240U-M020,FU100240U,FELO1920GMGND OFFWHT/NVY/GLDMT,NAVY/OFFWHT/GLDMET,M020,4,不选
FU100207U-M110,FU100207U,FE LO 1920 SLIP ON BLACK/WHITE,BLACK/WHITE,M110,3,不选
FU100239U-M020,FU100239U,FELO1920 GMGND/WWHT/BLK/GLDMET,WHISPER WHITE/BK/GLDMET,M020,3,不选
FE02021001-M040,FE02021001,FELO1920 PWRLFT BK/RD/NMBCD/GM,BLACK/RD/NIMBUSCLD/GUM,M040,2,不选
FE02021001-M090,FE02021001,FELO1920 PWRLFT BK/RD/NMBCD/GM,BLACK/RD/NIMBUSCLD/GUM,M090,2,不选
FK100028C-M130,FK100028C,FELO1920 KID EL RED/BLU/RD CHV,RED/BLUE/RED,M130,2,不选
FU100166M-M090,FU100166M,FELO1920 WHITE TMB/WHT/BLK,WHITE/BLACK,M090,2,不选
FU100194M-M090,FU100194M,FE LO 1920 OLIVECVS/BLK,OLIVE/BLACK,M090,2,不选
FU100201U-M110,FU100201U,FE LO 1920 WHIT/NAVY CVS,WHITE/NAVY,M110,2,不选
FU100204U-M100,FU100204U,FE LO 1920 BLACK/GREEN CVS,BLACK/NEON GREEN,M100,2,不选
FU100232U-M030,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M030,2,不选
FU100232U-M070,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M070,2,不选
FU100245U-M120,FU100245U,FELO1920CORENEUT CHIVE/WHP WHT,CHIVE/WHP WHITE,M120,2,不选
FE02021001-M060,FE02021001,FELO1920 PWRLFT BK/RD/NMBCD/GM,BLACK/RD/NIMBUSCLD/GUM,M060,1,不选
FK100029C-M030,FK100029C,FE LO 1920 KIDS EL NAVY CANVAS,NAVY,M030,1,不选
FU100148W-M090,FU100148W,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M090,1,不选
FU100148W-M100,FU100148W,FE LO 1920 RE CVS/BLU/RED CHV,RED/BLUE/RED,M100,1,不选
FU100165M-M070,FU100165M,FELO1920 BK TMBLD/BLK LOGO/WHT,BLACK/WHITE,M070,1,不选
FU100166M-M080,FU100166M,FELO1920 WHITE TMB/WHT/BLK,WHITE/BLACK,M080,1,不选
FU100166W-M050,FU100166W,FELO1920 WHITE TMB/WHT/BLK,WHITE/BLACK,M050,1,不选
FU100167W-M050,FU100167W,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M050,1,不选
FU100173W-M050,FU100173W,FELO1920MULE WHT CVS/RED/BLU,WHITE/RED/BLUE,M050,1,不选
FU100178W-M080,FU100178W,FE LO MULE BLACK CVS/BLK,BLACK,M080,1,不选
FU100178W-M100,FU100178W,FE LO MULE BLACK CVS/BLK,BLACK,M100,1,不选
FU100188W-M050,FU100188W,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M050,1,不选
FU100188W-M060,FU100188W,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M060,1,不选
FU100189W-M050,FU100189W,FE MID 1920 BLACK CANVAS/BK,BLACK,M050,1,不选
FU100194M-M100,FU100194M,FE LO 1920 OLIVECVS/BLK,OLIVE/BLACK,M100,1,不选
FU100194M-M130,FU100194M,FE LO 1920 OLIVECVS/BLK,OLIVE/BLACK,M130,1,不选
FU100195M-M100,FU100195M,FE LO 1920 NAVY CANVAS,NAVY,M100,1,不选
FU100201U-M040,FU100201U,FE LO 1920 WHIT/NAVY CVS,WHITE/NAVY,M040,1,不选
FU100204U-M090,FU100204U,FE LO 1920 BLACK/GREEN CVS,BLACK/NEON GREEN,M090,1,不选
FU100206U-M030,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M030,1,不选
FU100210U-M040,FU100210U,FE LO 1920 BLACK/RAINBOW,BLACK/RAINBOW,M040,1,不选
FU100210U-M140,FU100210U,FE LO 1920 BLACK/RAINBOW,BLACK/RAINBOW,M140,1,不选
FU100228U-M020,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M020,1,不选
FU100228U-M050,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M050,1,不选
FU100228U-M120,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M120,1,不选
FU100228U-M130,FU100228U,FE LO AV BLACK/IVORY CANVAS,BLACK/IVORY,M130,1,不选
FU100229U-M090,FU100229U,FE LO AV IVORY/GREEN CVS,IVORY/GREEN,M090,1,不选
FU100229U-M120,FU100229U,FE LO AV IVORY/GREEN CVS,IVORY/GREEN,M120,1,不选
FU100229U-M130,FU100229U,FE LO AV IVORY/GREEN CVS,IVORY/GREEN,M130,1,不选
FU100230U-M020,FU100230U,FE LO AV WHITE/ROYAL CANVAS,WHITE/ROYAL,M020,1,不选
FU100231U-M030,FU100231U,FELO1920CHUNLI IVORY/BLU/MLT,IVORY/BLUE/MULTI,M030,1,不选
FU100231U-M060,FU100231U,FELO1920CHUNLI IVORY/BLU/MLT,IVORY/BLUE/MULTI,M060,1,不选
FU100232U-M060,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M060,1,不选
FU100232U-M080,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M080,1,不选
FU100236U-M080,FU100236U,FE LO 1920 EXO BLK/ORG/VOL GLS,BLACK/ORG/VGLASS,M080,1,不选
FU100240U-M090,FU100240U,FELO1920GMGND OFFWHT/NVY/GLDMT,NAVY/OFFWHT/GLDMET,M090,1,不选
FU100252U-M110,FU100252U,FELO 1920 RF WHITE,WHITE,M110,1,不选
FU100253U-M090,FU100253U,FELO 1920 RF BLACK,BLACK,M090,1,不选
FU100256U-M070,FU100256U,FELO 1920 RF BNE WH/WW/GM,BONE/WHISPER WH/GUM,M070,1,不选
FU100256U-M110,FU100256U,FELO 1920 RF BNE WH/WW/GM,BONE/WHISPER WH/GUM,M110,1,不选
FU100256U-M120,FU100256U,FELO 1920 RF BNE WH/WW/GM,BONE/WHISPER WH/GUM,M120,1,不选
FU100256U-M130,FU100256U,FELO 1920 RF BNE WH/WW/GM,BONE/WHISPER WH/GUM,M130,1,不选
